Family,Binomial,Common Name,Mass.M,Mass.F,SSD,Length.M,Length.F,Litter.Size,Social.Class,Diet
Ailuridae,Ailurusfulgens,Red panda,5,4.9,1.02,592,592,2,Solitary,Frugivorous/Herbivorous
Mephitidae,Conepatushumboldtii,Humboldt's hognosed skunk,2.24,1.53,1.46,377,338,,A,A
Mephitidae,Conepatusleuconotus,American hognosed skunk,3,2.7,1.11,390,365,3,Solitary,Insectivorous
Mephitidae,Mephitismacroura,Hooded skunk,0.81,0.72,1.13,315,296,5.5,Solitary,Omnivorous
Mephitidae,Mephitismephitis,Striped skunk,2.6,2.05,1.27,430,411,6.8,Solitary,Insectivorous
Mephitidae,Spilogalegracilis,Western spotted skunk,0.56,0.43,1.3,290,230,3.8,A,Omnivorous
Mephitidae,Spilogaleputorius,Eastern spotted skunk,0.4,0.28,1.43,279,261,5.5,A,Omnivorous
Mephitidae,Spilogalepygmaea,Pygmy spotted skunk,0.24,0.22,1.09,,,3.5,Solitary,Omnivorous
Mustelidae,Aonyxcapensis,African clawless otter,14.3,12.2,1.17,1255,1235,3,Solitary,Omnivorous
Mustelidae,Aonyxcinereus,Oriental smallclawed otter,2.5,3.7,0.68,550,550,3.5,Groups,Piscivorous
Mustelidae,Eirabarbara,Tayra,4.84,4.4,1.1,636,636,3.5,Solitary,Omnivorous
Mustelidae,Enhydralutris,Sea otter,32,24,1.33,1315,1233,1,Variable Groups,Piscivorous
Mustelidae,Galictiscuja,Lesser grison,1,1,1,409,409,,Variable Groups,Carnivorous
Mustelidae,Galictisvittata,Greater grison,3.38,1.8,1.88,519,519,2,Variable Groups,Carnivorous
Mustelidae,Gulogulo,Wolverine,14.6,10,1.46,797,698,2.8,Solitary,Carnivorous
Mustelidae,Hydrictismaculicollis,Spottednecked otter,5.75,4.3,1.34,698,588,1.5,Variable Groups,Piscivorous
Mustelidae,Ictonyxlibyca,Saharan striped polecat,0.42,0.39,1.08,256,256,2.5,Solitary,Carnivorous
Mustelidae,Ictonyxstriatus,Zorilla,0.91,0.64,1.42,353,331,2.3,Solitary,Carnivorous
Mustelidae,Lontracanadensis,North american river otter,8.8,7.9,1.11,685,620,3,Variable Groups,Piscivorous
Mustelidae,Lontrafelina,Marine otter,4,4,1,560,560,2,Solitary,Piscivorous
Mustelidae,Lontralongicaudis,Neotropical river otter,8.6,7.9,1.09,560,560,2.5,Solitary,Piscivorous
Mustelidae,Lontraprovocax,Southern river otter,12.5,9.4,1.33,790,710,2,Solitary,Piscivorous
Mustelidae,Lutralutra,European otter,10,7,1.43,1200,1000,2.5,Variable Groups,Piscivorous
Mustelidae,Lutrogaleperspicillata,Smoothcoated otter,10.29,7.3,1.41,670,670,1.5,Pairs,Piscivorous
Mustelidae,Martesamericana,American marten,0.8,0.55,1.45,405,360,2.6,Solitary,Carnivorous
Mustelidae,Martesflavigula,yellowthroated marten,2.83,2.36,1.2,580,540,2.5,Variable Groups,Carnivorous
Mustelidae,Martesfoina,Beech marten,1.72,1.28,1.34,448,420,3.5,Solitary,Omnivorous
Mustelidae,Martesmartes,pine marten,1.92,1.34,1.43,492,442,3.3,Solitary,Carnivorous
Mustelidae,Martesmelampus,Japanese marten,1.56,1.01,1.54,465,424,3,Solitary,A
Mustelidae,Martespennanti,Fisher,4.5,2.25,2,600,510,3,Solitary,Carnivorous
Mustelidae,Marteszibellina,Sable,1.3,0.9,1.44,480,405,3,Solitary,Omnivorous
